"['Unknown', 'Male', 'Domestic Mediumhair', 'Cat']"
"['Unknown', 'Male', 'Pit Bull', 'Dog']"
"['Unknown', 'Female', 'Pit Bull', 'Dog']"
"['Unknown', '', 'Australian Shepherd', 'Dog']"
"['Black / White', 'Female', 'American Shorthair', 'Cat']"
"['Unknown', 'Male', 'Golden Retriever', 'Dog']"
"['Black / Brown', 'Male', 'German Shepherd', 'Dog']"
"['Unknown', 'Female', 'Rodent', 'Rodent']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Female', 'German Shepherd', 'Dog']"
"['White', '', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Pembroke Welsh Corgi', 'Dog']"
"['Unknown', 'Female', 'Labrador Retriever', 'Dog']"
"['Unknown', 'Male', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Male', 'Chihuahua - Long Haired', 'Dog']"
"['Unknown', 'Female', 'Domestic Mediumhair', 'Cat']"
"['Unknown', 'Female', 'Labrador Retriever', 'Dog']"
"['Unknown', 'Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Female', 'American Shorthair', 'Cat']"
"['Unknown', 'Female', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Female', 'Miniature Poodle', 'Dog']"
"['Unknown', 'Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Female', 'Siberian Husky', 'Dog']"
"['Lynx Pt', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['White', 'Spayed Female', 'Domestic Mediumhair', 'Cat']"
"['White', 'Spayed Female', 'Domestic Mediumhair', 'Cat']"
"['Black / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Rat Terrier', 'Dog']"
"['Unknown', 'Female', 'Mexican Hairless', 'Dog']"
"['Gray', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Gray', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Black', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Org Tabby / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Black / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Black', 'Spayed Female', 'Domestic Mediumhair', 'Cat']"
"['Gray Tabby', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Brn Tabby', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Orange / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Black / White', 'Spayed Female', 'Domestic Longhair', 'Cat']"
"['Tortie', 'Spayed Female', 'Domestic Longhair', 'Cat']"
"['Gray', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Tortie', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Calico', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Brn Tabby / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Blue / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Brn Tabby / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Brn Tiger / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Black / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Black', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
